weighted portfolio variance,weighted portfolio returns
0.030838,0.147522
0.031008,0.197609
0.029595,0.156917
0.026307,0.189416
0.027034,0.193165
0.038931,0.141324
0.044120,0.226109
0.043156,0.222903
0.020053,0.162153
0.041289,0.137304
0.022468,0.200061
0.048425,0.228519
0.048828,0.230587
0.024317,0.209735
0.029842,0.206008
0.020148,0.211345
0.027367,0.164764
0.039989,0.222546
0.025280,0.202369
0.028690,0.210634
0.036014,0.211918
0.019768,0.180597
0.034468,0.200195
0.046445,0.228006
0.030081,0.169254
0.024259,0.227434
0.039988,0.135979
0.027141,0.190213
0.043511,0.228188
0.033037,0.225792
0.024934,0.202774
0.030752,0.191182
0.029463,0.156037
0.028612,0.173021
0.018566,0.194628
0.035472,0.146873
0.036526,0.210464
0.021921,0.171375
0.023405,0.186400
0.040602,0.220480
0.039128,0.140992
0.026789,0.170212
0.018596,0.183078
0.022994,0.200463
0.028378,0.173014
0.051271,0.233103
0.033636,0.226042
0.036167,0.207992
0.033650,0.221453
0.029715,0.236043
0.020367,0.171618
0.030940,0.165649
0.020396,0.205347
0.033502,0.225125
0.026870,0.238181
0.025830,0.167258
0.040184,0.218199
0.026314,0.205164
0.048356,0.227460
0.034140,0.202788
0.023552,0.216374
0.019980,0.179449
0.036265,0.214895
0.023488,0.199761
0.035724,0.213674
0.024101,0.208285
0.033669,0.197073
0.051702,0.232266
0.025333,0.175045
0.028521,0.215028
0.035806,0.218328
0.046827,0.229580
0.021747,0.187478
0.017488,0.186394
0.039536,0.217721
0.040751,0.132396
0.019995,0.158554
0.031127,0.191018
0.025318,0.174627
0.020221,0.201360
0.030872,0.164269
0.041794,0.227296
0.048465,0.228790
0.025373,0.217731
0.020372,0.197957
0.023419,0.221039
0.028089,0.152825
0.047419,0.226192
0.042824,0.228376
0.019168,0.189603
0.024308,0.198958
0.025048,0.203857
0.025217,0.173621
0.024619,0.203071
0.020896,0.180718
0.021745,0.215377
0.034879,0.204798
0.028070,0.168448
0.047588,0.229418
0.019003,0.183080
0.020162,0.172808
0.026594,0.204656
0.026481,0.200289
0.039903,0.221393
0.051351,0.231940
0.033820,0.220046
0.040920,0.223596
0.043179,0.222047
0.026437,0.189355
0.030943,0.168323
0.023498,0.207984
0.019711,0.183641
0.030884,0.189226
0.025045,0.165522
0.029878,0.209538
0.042145,0.226560
0.036957,0.138154
0.031089,0.229641
0.048774,0.230227
0.041408,0.135508
0.024904,0.186928
0.028184,0.199608
0.033659,0.209876
0.021989,0.208711
0.019395,0.194318
0.027026,0.197204
0.025909,0.184556
0.022021,0.207754
0.047980,0.229797
0.023748,0.208192
0.023554,0.191485
0.027385,0.209708
0.038944,0.216482
0.033200,0.224212
0.019351,0.199686
0.034890,0.211610
0.026086,0.169593
0.035651,0.235541
0.030496,0.207439
0.030693,0.157878
0.027581,0.207120
0.025331,0.201466
0.031457,0.213416
0.031477,0.171614
0.043149,0.224955
0.026507,0.191857
0.027124,0.176036
0.031436,0.227352
0.037418,0.208774
0.022799,0.195251
0.031663,0.235887
0.018776,0.179556
0.031089,0.189568
0.021743,0.205265
0.023513,0.189127
0.049384,0.231177
0.025739,0.238602
0.038876,0.223260
0.050658,0.231820
0.028673,0.220312
0.042566,0.223490
0.022977,0.214152
0.032859,0.214028
0.050254,0.231803
0.032022,0.191630
0.051799,0.232427
0.033927,0.217931
0.051016,0.231782
0.028206,0.205223
0.031429,0.221672
0.022264,0.177320
0.051547,0.231982
0.023829,0.173387
0.031821,0.188804
0.045488,0.231931
0.026417,0.229490
0.046170,0.224378
0.027701,0.219571
0.017769,0.169690
0.035048,0.212406
0.016537,0.168306
0.027092,0.169674
0.015206,0.180510
0.031475,0.201615
0.046296,0.227464
0.027003,0.229176
0.029705,0.186572
0.031290,0.195144
0.021768,0.208913
0.023299,0.188696
0.021106,0.189915
0.037312,0.220687
0.020342,0.183236
0.026852,0.146569
0.021647,0.193765
0.024640,0.179765
0.043886,0.224577
0.027191,0.227591
0.019903,0.212201
0.025824,0.226283
0.023310,0.170089
0.044538,0.226205
0.030488,0.171002
0.025079,0.191871
0.019566,0.194306
0.030085,0.216072
0.033002,0.195857
0.021191,0.183944
0.031337,0.174111
0.019715,0.171136
0.026942,0.203378
0.025670,0.203472
0.038828,0.225895
0.017633,0.183791
0.035876,0.140825
0.044130,0.232112
0.017989,0.183964
0.025938,0.216188
0.028876,0.201507
0.041132,0.221501
0.042865,0.223507
0.032263,0.161384
0.043575,0.136111
0.049062,0.229157
0.050448,0.231740
0.037751,0.212222
0.026324,0.212951
0.030393,0.217781
0.033639,0.223214
0.023573,0.176429
0.019114,0.176539
0.023661,0.225509
0.030664,0.190426
0.020246,0.168530
0.031116,0.152045
0.035614,0.214418
0.018224,0.180612
0.030251,0.249020
0.030002,0.206796
0.023462,0.204506
0.037374,0.144159
0.021284,0.209199
0.034088,0.228813
0.024380,0.199015
0.040079,0.227979
0.030082,0.184595
0.033289,0.144855
0.024700,0.180274
0.022895,0.173054
0.028667,0.146355
0.040483,0.218636
0.025080,0.200373
0.031617,0.152862
0.031972,0.203912
0.038133,0.232102
0.031043,0.174986
0.030909,0.183105
0.027497,0.192237
0.045179,0.226241
0.036691,0.136132
0.032240,0.196351
0.039020,0.139193
0.036278,0.220115
0.037723,0.224636
0.026067,0.235242
0.030216,0.236093
0.029129,0.140315
0.021651,0.162703
0.025207,0.207541
0.034115,0.149700
0.035380,0.208269
0.017889,0.197991
0.028518,0.172715
0.030267,0.147461
0.021136,0.177276
0.030027,0.138841
0.036074,0.218287
0.038096,0.227714
0.018926,0.183912
0.026831,0.183987
0.044655,0.227095
0.048477,0.229706
0.024515,0.184017
0.024090,0.161080
0.039761,0.221420
0.040622,0.221838
0.032149,0.159065
0.048818,0.230824
0.047469,0.230092
0.035137,0.205956
0.044975,0.227326
0.025585,0.173155
0.043119,0.222251
0.028801,0.221443
0.023715,0.190908
0.021897,0.174211
0.035178,0.219266
0.036647,0.219520
0.033958,0.219438
0.025563,0.169758
0.051138,0.231355
0.030469,0.161042
0.042286,0.229620
0.019119,0.169324
0.024922,0.182807
0.024756,0.210309
0.020491,0.196332
0.036043,0.176534
0.031646,0.207970
0.019581,0.187607
0.051426,0.231986
0.021748,0.192713
0.021902,0.205677
0.043206,0.226186
0.019874,0.192310
0.030579,0.218153
0.042570,0.137204
0.044607,0.225609
0.029173,0.170902
0.018727,0.182610
0.025786,0.179458
0.030890,0.215525
0.020524,0.187748
0.025727,0.190177
0.039724,0.240930
0.018701,0.175413
0.037954,0.138916
0.030374,0.165823
0.016832,0.189703
0.046791,0.228333
0.051581,0.232410
0.035217,0.212687
0.021367,0.191905
0.046042,0.226989
0.020797,0.167822
0.036092,0.149239
0.020111,0.209751
0.051589,0.232075
0.043135,0.228861
